,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,staid,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName,agency_cd,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
10,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Carbon dioxide,Total,4.1,mg/l,,Accepted,,Actual,,,,,,,405,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
11,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Carbonate,Dissolved,0.2,mg/l,,Accepted,,Actual,,,,,,,452,,,,,,ASM01,USGS,"Alkalinity, IPT, Hach, ASM","Rounds, 2007, Alkalinity calculation methods",U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
12,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Bicarbonate,Dissolved,144.0,mg/l,,Accepted,,Actual,,,,,,,453,,,,,,ASM01,USGS,"Alkalinity, IPT, Hach, ASM","Rounds, 2007, Alkalinity calculation methods",U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
13,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,Detected Not Quantified,Organic Nitrogen,Dissolved,,,,Accepted,,Actual,,,,,,,607,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,Lower Quantitation Limit,0.01,mg/l,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
14,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Ammonia and ammonium,Dissolved,0.01,mg/l as N,,Accepted,,Actual,,,,,,,608,,,,,,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2020-05-28,below the reporting level but at or above the detection level,Detection limit by DQCALC,0.01,mg/l as N,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
15,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,Not Detected,Nitrite,Dissolved,,,,Accepted,,Actual,,,,,,,613,,,,,,DZ001,USGS,"Nitrite, wf, DA, diazo",,"USGS-National Water Quality Lab, Denver, CO",2020-05-28,,Detection limit by DQCALC,0.001,mg/l as N,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
16,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Nitrate,Dissolved,0.171,mg/l as N,,Accepted,,Actual,,,,,,,618,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
17,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.171,mg/l as N,,Accepted,,Actual,,,,,,,631,,,,,,RED01,USGS,"NO3+NO2, wf, FCC,NaR, DA",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2020-05-27,,Detection limit by DQCALC,0.04,mg/l as N,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
18,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Orthophosphate,Dissolved,0.057,mg/l asPO4,,Accepted,,Actual,,,,,,,660,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
19,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Orthophosphate,Dissolved,0.018,mg/l as P,,Accepted,,Actual,,,,,,,671,,,,,,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2020-05-28,,Detection limit by DQCALC,0.004,mg/l as P,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
20,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Organic carbon,Dissolved,0.55,mg/l,,Accepted,,Actual,,,,,,,681,,,,,,CMB15,USGS,"DOC, wf, 0.45 um cap, combust IR",USGS NWQL Rapi-Note 17-21,"USGS-National Water Quality Lab, Denver, CO",2020-06-10,,Blank-adjusted method detect limit,0.23,mg/l,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
21,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,"Hardness, Ca, Mg",,114.0,mg/l CaCO3,,Accepted,,Actual,,,,,,,900,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
