,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,staid,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName,datetime,ValueAndUnits,agency_cd,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
37,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Dissolved,0.18,mg/l,,Accepted,,Actual,,,,,,,p62854,,,,,,CL063,USGS,"Nutrients, wf, FCC,persulfate,CF",USGS WRI 03-4174,"USGS-National Water Quality Lab, Denver, CO",2020-06-02,,Detection limit by DQCALC,0.05,mg/l,,NWIS,2020-05-18 17:50:00,0.18 mg/l,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
27,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Potassium,Dissolved,1.87,mg/l,,Accepted,,Actual,,,,,,,p00935,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-06-04,,Detection limit by DQCALC,0.3,mg/l,,NWIS,2020-05-18 17:50:00,1.87 mg/l,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
39,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,Not Detected,4-Methyl-1H-benzotriazole,Recoverable,,,,Accepted,,Actual,,,,,,,p63120,,,,,,,,,,"State Laboratory of Hygiene, Wisconsin",2020-11-16,,Lower limit of detection,0.35,ug/l,2020-11-16,NWIS,2020-05-18 17:50:00,No Value,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
41,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,Not Detected,"1,2,3-Benzotriazole",Total,,,,Accepted,,Actual,,,,,,,p68282,,,,,,,,,,"State Laboratory of Hygiene, Wisconsin",2020-11-16,,Lower limit of detection,0.25,ug/l,2020-11-16,NWIS,2020-05-18 17:50:00,No Value,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
42,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Total dissolved solids,Dissolved,156.0,mg/l,,Accepted,,Actual,,,180 deg C,,,,p70300,,,,,,ROE10,USGS,"ROE, wf, 180C, by weight (NWQL)","USGS TWRI 5-A1/1989, p 437","USGS-National Water Quality Lab, Denver, CO",2020-05-29,sample was diluted,Lower Reporting Limit,20.0,mg/l,,NWIS,2020-05-18 17:50:00,156.0 mg/l,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
43,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Total dissolved solids,Dissolved,153.0,mg/l,,Accepted,,Actual,,,,,,,p70301,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,2020-05-18 17:50:00,153.0 mg/l,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
44,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Total dissolved solids,Dissolved,0.21,tons/ac ft,,Accepted,,Actual,,,,,,,p70303,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,2020-05-18 17:50:00,0.21 tons/ac ft,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
45,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Ammonia and ammonium,Dissolved,0.014,mg/l NH4,,Accepted,,Actual,,,,,,,p71846,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,2020-05-18 17:50:00,0.014 mg/l NH4,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
46,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Nitrate,Dissolved,0.755,mg/l asNO3,,Accepted,,Actual,,,,,,,p71851,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,2020-05-18 17:50:00,0.755 mg/l asNO3,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
47,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,Not Detected,Nitrite,Dissolved,,,,Accepted,,Actual,,,,,,,p71856,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,Historical Lower Reporting Limit,0.003,mg/l asNO2,,NWIS,2020-05-18 17:50:00,No Value,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
48,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Bromide,Dissolved,0.012,mg/l,,Accepted,,Actual,,,,,,,p71870,,,,,,IC027,USGS,New ion chromatography method,"USGS TWRI 5-A1/1989, p 523","USGS-National Water Quality Lab, Denver, CO",2020-05-29,below the reporting level but at or above the detection level,Detection limit by DQCALC,0.01,mg/l,,NWIS,2020-05-18 17:50:00,0.012 mg/l,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
